Run,Seed,Condition,Landmark,Mean error (px),PCK@5 (%)
3,33,Central Occlusion,leg_br_tip,87.06946697277783,0.0
3,33,Central Occlusion,leg_mr_tip,82.53099372868917,0.0
3,33,Central Occlusion,leg_fr_tip,26.112208883705023,0.0
4,44,Baseline,head_fc,0.5867623046729907,100.0
4,44,Baseline,head_bl,1.9918560496916682,100.0
4,44,Baseline,head_br,0.7679193096774524,100.0
4,44,Baseline,thorax_fr,0.9610090149210947,100.0
4,44,Baseline,thorax_fl,0.842618170375308,100.0
4,44,Baseline,thorax_bc,0.9207221959392367,100.0
4,44,Baseline,abdomen,0.8022349014219431,100.0
4,44,Baseline,leg_ml_in,0.8920312184111218,100.0
4,44,Baseline,leg_ml_c,1.3459497071208404,99.04988123515439
4,44,Baseline, leg_mr_in,0.8991761104401932,99.7624703087886
4,44,Baseline,leg_mr_c,1.2762035729971657,99.7624703087886
4,44,Baseline,leg_fl_tip,2.1619181938805054,93.82422802850357
4,44,Baseline,leg_ml_tip,1.4198085361153208,97.14964370546319
4,44,Baseline,leg_bl_tip,3.843805072327801,83.3729216152019
4,44,Baseline,leg_br_tip,2.764133894423147,87.41092636579573
4,44,Baseline,leg_mr_tip,1.8446902026780665,96.43705463182897
4,44,Baseline,leg_fr_tip,2.3401207323445146,94.53681710213777
4,44,Mild Gaussian Blur,head_fc,0.6057226474957601,100.0
4,44,Mild Gaussian Blur,head_bl,1.3798425355734378,100.0
4,44,Mild Gaussian Blur,head_br,0.838030196643993,100.0
4,44,Mild Gaussian Blur,thorax_fr,1.0369029746205527,100.0
4,44,Mild Gaussian Blur,thorax_fl,0.9709762854325835,100.0
4,44,Mild Gaussian Blur,thorax_bc,1.0356661693332296,100.0
4,44,Mild Gaussian Blur,abdomen,0.8847427252918945,100.0
4,44,Mild Gaussian Blur,leg_ml_in,0.934337975852113,100.0
4,44,Mild Gaussian Blur,leg_ml_c,1.6997388706555008,99.04988123515439
4,44,Mild Gaussian Blur, leg_mr_in,1.1067846309952358,99.2874109263658
4,44,Mild Gaussian Blur,leg_mr_c,1.5519303446582218,99.2874109263658
4,44,Mild Gaussian Blur,leg_fl_tip,3.517663325159581,81.94774346793349
4,44,Mild Gaussian Blur,leg_ml_tip,4.381876182180257,71.97149643705463
4,44,Mild Gaussian Blur,leg_bl_tip,9.447837303379604,24.94061757719715
4,44,Mild Gaussian Blur,leg_br_tip,6.70007180888762,63.42042755344418
4,44,Mild Gaussian Blur,leg_mr_tip,6.3161175601162824,49.16864608076009
4,44,Mild Gaussian Blur,leg_fr_tip,6.095177119278041,62.47030878859857
4,44,Strong Gaussian Blur,head_fc,0.7860125788994573,100.0
4,44,Strong Gaussian Blur,head_bl,1.5548839340248626,99.2874109263658
4,44,Strong Gaussian Blur,head_br,4.40263253072948,72.92161520190024
4,44,Strong Gaussian Blur,thorax_fr,4.71641429528059,59.61995249406176
4,44,Strong Gaussian Blur,thorax_fl,1.3766986964720158,100.0
4,44,Strong Gaussian Blur,thorax_bc,3.870191976208439,98.09976247030879
4,44,Strong Gaussian Blur,abdomen,0.7881098292466674,100.0
4,44,Strong Gaussian Blur,leg_ml_in,1.2288971844258774,99.7624703087886
4,44,Strong Gaussian Blur,leg_ml_c,4.156710806997564,77.19714964370546
4,44,Strong Gaussian Blur, leg_mr_in,8.528229885317176,2.137767220902613
